region_natural,anio,linea_pobreza_total_soles,linea_pobreza_extrema_soles,gasto_real_soles,ingreso_real_soles
Costa,2015,360.1033,182.9012,1094.15185546875,1466.4613037109375
Costa,2016,374.6331,190.948,1121.3331298828125,1524.888427734375
Costa,2017,387.3442,198.852,1119.0567626953125,1500.919677734375
Costa,2018,392.368,198.6217,1131.3475341796875,1515.8865966796875
Costa,2019,400.2897,202.0692,1137.6695556640625,1520.5283203125
Costa,2020,409.4399719238281,206.9277801513672,934.734130859375,1165.433837890625
Costa,2021,429.790283203125,217.630722045898,985.2156982421875,1309.1029052734375
Costa,2022,469.526458740234,243.553665161133,984.9318237304688,1318.410400390625
Costa,2023,503.412719726563,270.410705566406,977.1033325195312,1308.196044921875
Costa,2024,513.8414916992188,275.978271484375,983.6347045898438,1328.6793212890625
Lima Metropolitana,2015,399.4296,203.861,1178.9814453125,1629.1790771484375
Lima Metropolitana,2016,415.5922,212.9048,1199.57177734375,1698.594970703125
Lima Metropolitana,2017,428.1774,220.6315,1196.652587890625,1651.586669921875
Lima Metropolitana,2018,432.8215,220.1674,1200.036376953125,1653.42333984375
Lima Metropolitana,2019,441.1446,223.8388,1196.1016845703125,1645.233642578125
Lima Metropolitana,2020,449.2777099609375,228.08877563476562,959.4567260742188,1216.968505859375
Lima Metropolitana,2021,469.873962402344,239.25212097168,997.16845703125,1335.51123046875
Lima Metropolitana,2022,510.119812011719,265.673400878906,992.7842407226562,1354.5784912109375
Lima Metropolitana,2023,546.054321289063,293.982849121094,989.2095336914062,1363.795166015625
Lima Metropolitana,2024,559.219970703125,301.34832763671875,989.8809204101562,1388.101318359375
Selva,2015,265.9549,154.8931,726.1073608398438,910.799072265625
Selva,2016,276.0883,161.7537,730.8702392578125,919.73486328125
Selva,2017,282.9549,165.6352,737.7210693359375,925.312255859375
Selva,2018,287.3728,167.045,755.032470703125,940.0706787109375
Selva,2019,295.906,172.239,759.429443359375,947.4945678710938
Selva,2020,302.947998046875,176.15371704101562,679.7675170898438,823.9931640625
Selva,2021,322.651306152344,187.489318847656,733.1981201171875,940.9542846679688
Selva,2022,355.216339111328,210.020538330078,715.4158935546875,939.9522094726562
Selva,2023,378.482849121094,230.156036376953,712.16357421875,913.0884399414062
Selva,2024,384.69677734375,234.5550079345703,723.2884521484375,954.185546875
Sierra,2015,257.0839,149.7291,769.1438598632812,977.572021484375
Sierra,2016,268.3418,157.2042,777.4718017578125,991.4824829101562
Sierra,2017,275.4038,161.215,769.5205078125,966.2655639648438
Sierra,2018,280.4419,162.4586,789.9581909179688,1019.4859008789062
Sierra,2019,288.0951,166.972,809.4700927734375,1058.060302734375
Sierra,2020,292.9264221191406,168.42881774902344,701.3564453125,876.849365234375
Sierra,2021,307.547668457031,176.623977661133,750.598388671875,996.2841186523438
Sierra,2022,340.473175048828,200.289245605469,778.1641845703125,1030.7799072265625
Sierra,2023,367.075653076172,223.148468017578,772.4815673828125,1020.2244873046875
Sierra,2024,373.2027893066406,226.5060577392578,789.5646362304688,1050.0640869140625
